Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
SNJ O'Keefe (AUS),26.4,6,74,3,2.77,24.66,53.3,v Sri Lanka,Pallekele,26 Jul 2016,0,0,0
Abdur Rehman (PAK),40,12,76,3,1.9,25.33,80,v West Indies,Providence,12 May 2011,0,0,0
SNJ O'Keefe (AUS),42.1,8,76,3,1.8,25.33,84.3,v India,Bengaluru,4 Mar 2017,0,0,0
B Casson (AUS),25,3,86,3,3.44,28.66,50,v West Indies,Bridgetown,12 Jun 2008,0,0,0
N Boje (SA),40,8,89,3,2.22,29.66,80,v West Indies,Port of Spain,8 Apr 2005,0,0,0
PL Harris (SA),34.5,9,89,3,2.55,29.66,69.6,v England,The Oval,7 Aug 2008,0,0,0
Mohammad Rafique (BDESH),36,12,90,3,2.5,30,72,v West Indies,Gros Islet,28 May 2004,0,0,0
DL Vettori (NZ),33,8,94,3,2.84,31.33,66,v Sri Lanka,Colombo (PSS),25 Apr 2003,0,0,0
D Mohammed (WI),31,4,98,3,3.16,32.66,62,v Pakistan,Lahore,11 Nov 2006,0,0,0
RA Jadeja (INDIA),51.1,8,99,3,1.93,33,102.3,v England,Lord's,17 Jul 2014,0,0,0
PL Harris (SA),32.4,8,101,3,3.09,33.66,65.3,v India,Kanpur,11 Apr 2008,0,0,0
D Mohammed (WI),33,5,112,3,3.39,37.33,66,v South Africa,Cape Town,2 Jan 2004,0,0,0
HMRKB Herath (SL),41.1,9,120,3,2.91,40,82.3,v New Zealand,Napier,4 Apr 2005,0,0,0
HMRKB Herath (SL),67,19,120,3,1.79,40,134,v England,Leeds,20 Jun 2014,0,0,0
MJ Santner (NZ),47,12,120,3,2.55,40,94,v Zimbabwe,Bulawayo,6 Aug 2016,0,0,0
RJ Peterson (SA),20,2,127,3,6.35,42.33,40,v Australia,Perth,30 Nov 2012,0,0,0
PL Harris (SA),38.2,8,129,3,3.36,43,76.6,v England,Lord's,10 Jul 2008,0,0,0
MS Panesar (ENG),58,21,131,3,2.25,43.66,116,v India,Nagpur,1 Mar 2006,0,0,0
XJ Doherty (AUS),46.1,15,131,3,2.83,43.66,92.3,v India,Hyderabad (Deccan),2 Mar 2013,0,0,0
HMRKB Herath (SL),44.5,5,132,3,2.94,44,89.6,v South Africa,Port Elizabeth,26 Dec 2016,0,0,0
MS Panesar (ENG),33,2,133,3,4.03,44.33,66,v India,Mohali,19 Dec 2008,0,0,0
SJ Benn (WI),62,17,139,3,2.24,46.33,124,v South Africa,Cape Town,2 Jan 2015,0,0,0
D Mohammed (WI),38.4,5,140,3,3.62,46.66,77.3,v Pakistan,Multan,19 Nov 2006,0,0,0
JM Holland (AUS),57,12,141,3,2.47,47,114,v Sri Lanka,Colombo (SSC),13 Aug 2016,0,0,0
AF Giles (ENG),48,5,146,3,3.04,48.66,96,v South Africa,Cape Town,2 Jan 2005,0,0,0
Abdur Rehman (PAK),54.3,7,150,3,2.75,50,109,v Sri Lanka,Colombo (SSC),14 Aug 2014,0,0,0
KA Maharaj (SA),57.4,14,150,3,2.6,50,115.3,v England,Manchester,4 Aug 2017,0,0,0
Taijul Islam (BDESH),47,6,156,3,3.31,52,94,v India,Hyderabad (Deccan),9 Feb 2017,0,0,0
Shakib Al Hasan (BDESH),43,4,157,3,3.65,52.33,86,v England,Lord's,27 May 2010,0,0,0
JA Warrican (WI),28,1,158,3,5.64,52.66,56,v Australia,Hobart,10 Dec 2015,0,0,0
MS Panesar (ENG),46,8,170,3,3.69,56.66,92,v India,Chennai,11 Dec 2008,0,0,0
Taijul Islam (BDESH),50,9,170,3,3.4,56.66,100,v West Indies,Gros Islet,13 Sep 2014,0,0,0
HMRKB Herath (SL),62,8,176,3,2.83,58.66,124,v India,Ahmedabad,16 Nov 2009,0,0,0
DL Vettori (NZ),58,7,178,3,3.06,59.33,116,v India,Nagpur,20 Nov 2010,0,0,0
Enamul Haque jnr (BDESH),60,7,178,3,2.96,59.33,120,v Zimbabwe,Harare,17 Apr 2013,0,0,0
N Boje (SA),57.3,11,183,3,3.18,61,115,v Sri Lanka,Colombo (SSC),11 Aug 2004,0,0,0
PR Adams (SA),45,6,184,3,4.08,61.33,90,v Sri Lanka,Galle,20 Jul 2000,0,0,0
SNJ O'Keefe (AUS),77,17,199,3,2.58,66.33,154,v India,Ranchi,16 Mar 2017,0,0,0
PL Harris (SA),53.1,6,203,3,3.81,67.66,106.3,v India,Chennai,26 Mar 2008,0,0,0
Shakib Al Hasan (BDESH),57.1,7,204,3,3.56,68,114.3,v Sri Lanka,Galle,7 Mar 2017,0,0,0
DL Vettori (NZ),60,9,209,3,3.48,69.66,120,v India,Ahmedabad,8 Oct 2003,0,0,0
Zulfiqar Babar (PAK),64,4,224,3,3.5,74.66,128,v Bangladesh,Khulna,28 Apr 2015,0,0,0
HMRKB Herath (SL),53.3,2,240,3,4.48,80,107,v India,Mumbai (BS),2 Dec 2009,0,0,0
MJ Clarke (AUS),15,7,20,2,1.33,10,45,v West Indies,North Sound,30 May 2008,0,0,0
MJ Santner (NZ),11,2,22,2,2,11,33,v South Africa,Durban,19 Aug 2016,0,0,0
HMRKB Herath (SL),11.3,1,25,2,2.17,12.5,34.5,v England,Leeds,19 May 2016,0,0,0
ST Jayasuriya (SL),10,0,33,2,3.3,16.5,30,v Zimbabwe,Bulawayo,14 May 2004,0,0,0
ST Jayasuriya (SL),21,8,41,2,1.95,20.5,63,v New Zealand,Napier,4 Apr 2005,0,0,0
