overs,mdns,runs,wkts,econ,ave,strike_rate,opposition,ground,home_away,bowling_arm,pace_spin,player,country,year,balls,year1_mtchs_pld,year2_mtchs_pld,year3_mtchs_pld,year4_mtchs_pld,year5_mtchs_pld,year1_wkts_pm,year2_wkts_pm,year3_wkts_pm,year4_wkts_pm,year5_wkts_pm,bowler_agnst_oppo,oppo_agnst_bowl_typ,bowl_home_adv,ground_bowl_typ
33,6,94,4,2.84,23.5,49.5,West Indies,Brisbane,1,1,1,GD McGrath,Australia,2005,198,8,2,8,14,8,3.75,1.5,4.375,4.85714285714286,4.5,0.697674418604651,0.967320261437909,0.476744186046512,0.945184426229508
34,13,71,4,2.08,17.75,51,England,Cape Town,1,0,0,N Boje,South Africa,2005,204,5,0,2,7,7,4,0,2.5,2.85714285714286,3.42857142857143,0.304347826086957,0.638961038961039,0.292604501607717,0.991582491582492
48,5,146,3,3.04,48.66,96,South Africa,Cape Town,0,0,0,AF Giles,England,2005,288,10,7,8,6,0,3.8,3.28571428571429,2.75,1.66666666666667,0,0.555555555555556,0.82046178343949,0.543055555555556,0.991582491582492
33,7,96,5,2.9,19.2,39.6,England,Cape Town,1,1,1,CK Langeveldt,South Africa,2005,198,0,0,0,0,0,0,0,0,0,0,1,0.977739039484006,0.5,1.00342935528121
48,16,101,5,2.1,20.2,57.6,England,Cape Town,1,1,1,SM Pollock,South Africa,2005,288,11,6,3,11,11,3.90909090909091,4.16666666666667,2.66666666666667,4.27272727272727,3.72727272727273,0.960365853658537,0.977739039484006,0.522968197879859,1.00342935528121
15,4,49,0,3.26,1000,1000,England,Cape Town,1,1,1,JH Kallis,South Africa,2005,90,7,5,6,10,9,1.28571428571429,3,3.66666666666667,2.8,1.44444444444444,1.13409961685824,0.977739039484006,0.484754200373366,1.00342935528121
43.4,12,99,6,2.26,16.5,43.6,England,Cape Town,1,1,1,M Ntini,South Africa,2005,262,11,7,5,8,5,3.27272727272727,5.71428571428571,4.6,2.25,3.2,1.19871106337272,0.977739039484006,0.620806794055202,1.00342935528121
49.1,8,125,6,2.54,20.83,49.1,South Africa,Cape Town,0,1,1,A Flintoff,England,2005,295,13,8,8,3,1,3.07692307692308,2.25,2.25,2,1,0.965576592082616,0.999937798566879,0.563318777292576,1.00342935528121
42,7,133,3,3.16,44.33,84,South Africa,Cape Town,0,1,1,MJ Hoggard,England,2005,252,13,2,12,3,1,3.38461538461538,2.5,3.83333333333333,3,0,1.34134615384615,0.999937798566879,0.483870967741935,1.00342935528121
18,0,69,1,3.83,69,108,South Africa,Cape Town,0,1,1,SP Jones,England,2005,108,8,0,1,0,0,2.75,0,4,0,0,1.21153846153846,0.999937798566879,0.485714285714286,1.00342935528121
45,9,137,1,3.04,137,270,South Africa,Cape Town,0,1,1,SJ Harmison,England,2005,270,13,5,4,0,0,5.15384615384615,2.2,2.5,0,0,0.583333333333333,0.999937798566879,0.465408805031447,1.00342935528121
19,7,59,0,3.1,1000,1000,England,Centurion,1,0,0,N Boje,South Africa,2005,114,5,0,2,7,7,4,0,2.5,2.85714285714286,3.42857142857143,0.304347826086957,0.638961038961039,0.292604501607717,0.65
