Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,,Opposition,Ground,Start date,
AM Blignaut (ZIM),28,5,93,3,3.32,31,56,,v India,Bulawayo,7 Jun 2001, 
HH Streak (ZIM),24,7,63,3,2.62,21,48,,v India,Bulawayo,7 Jun 2001, 
BT Watambwa (ZIM),40.5,10,148,3,3.62,49.33,81.6,,v India,Bulawayo,7 Jun 2001, 
AM Blignaut (ZIM),51.5,15,158,6,3.04,26.33,51.8,,v India,Harare,15 Jun 2001, 
TJ Friend (ZIM),42.2,8,95,3,2.24,31.66,84.6,,v India,Harare,15 Jun 2001, 
HH Streak (ZIM),47,16,115,7,2.44,16.42,40.2,,v India,Harare,15 Jun 2001, 
AR Caddick (ENG),36,0,163,1,4.52,163,216,,v Australia,Birmingham,5 Jul 2001, 
D Gough (ENG),33,6,152,3,4.6,50.66,66,,v Australia,Birmingham,5 Jul 2001, 
AM Blignaut (ZIM),30,6,116,0,3.86,-,-,,v West Indies,Bulawayo,19 Jul 2001, 
HH Streak (ZIM),35,8,110,2,3.14,55,105,,v West Indies,Bulawayo,19 Jul 2001, 
AR Caddick (ENG),32.1,4,101,5,3.13,20.2,38.6,,v Australia,Lord's,19 Jul 2001, 
DG Cork (ENG),23,3,84,1,3.65,84,138,,v Australia,Lord's,19 Jul 2001, 
D Gough (ENG),25,3,115,3,4.6,38.33,50,,v Australia,Lord's,19 Jul 2001, 
AM Blignaut (ZIM),16,2,92,2,5.75,46,48,,v West Indies,Harare,27 Jul 2001, 
HH Streak (ZIM),37.2,10,109,2,2.91,54.5,112,,v West Indies,Harare,27 Jul 2001, 
AR Caddick (ENG),32.2,5,141,4,4.36,35.25,48.5,,v Australia,Nottingham,2 Aug 2001, 
D Gough (ENG),15,3,63,2,4.2,31.5,45,,v Australia,Nottingham,2 Aug 2001, 
AJ Tudor (ENG),15.5,5,44,5,2.77,8.8,19,,v Australia,Nottingham,2 Aug 2001, 
CRD Fernando (SL),42,13,77,6,1.83,12.83,42,,v India,Galle,14 Aug 2001, 
ASA Perera (SL),12,0,34,0,2.83,-,-,,v India,Galle,14 Aug 2001, 
AR Caddick (ENG),40,6,188,4,4.7,47,60,,v Australia,Leeds,16 Aug 2001, 
D Gough (ENG),42.1,7,171,7,4.05,24.42,36.1,,v Australia,Leeds,16 Aug 2001, 
AJ Tudor (ENG),18,1,97,1,5.38,97,108,,v Australia,Leeds,16 Aug 2001, 
CRD Fernando (SL),30,6,130,3,4.33,43.33,60,,v India,Kandy,22 Aug 2001, 
AR Caddick (ENG),36,9,146,0,4.05,-,-,,v Australia,The Oval,23 Aug 2001, 
D Gough (ENG),29,4,113,1,3.89,113,174,,v Australia,The Oval,23 Aug 2001, 
CRD Fernando (SL),29,5,97,0,3.34,-,-,,v India,Colombo (SSC),29 Aug 2001, 
TJ Friend (ZIM),27,2,147,2,5.44,73.5,81,,v South Africa,Harare,7 Sep 2001, 
DT Hondo (ZIM),18,0,87,1,4.83,87,108,,v South Africa,Harare,7 Sep 2001, 
HH Streak (ZIM),34,4,120,0,3.52,-,-,,v South Africa,Harare,7 Sep 2001, 
GJ Whittall (ZIM),12,2,34,0,2.83,-,-,,v South Africa,Harare,7 Sep 2001, 
TJ Friend (ZIM),30.2,9,87,3,2.86,29,60.6,,v South Africa,Bulawayo,14 Sep 2001, 
HH Streak (ZIM),25,9,64,0,2.56,-,-,,v South Africa,Bulawayo,14 Sep 2001, 
GJ Whittall (ZIM),29.4,6,80,0,2.69,-,-,,v South Africa,Bulawayo,14 Sep 2001, 
M Hayward (SA),43.3,13,144,5,3.31,28.8,52.2,,v India,Bloemfontein,3 Nov 2001, 
JH Kallis (SA),37,9,143,3,3.86,47.66,74,,v India,Bloemfontein,3 Nov 2001, 
M Ntini (SA),24.4,5,110,2,4.45,55,74,,v India,Bloemfontein,3 Nov 2001, 
SM Pollock (SA),48.4,18,147,10,3.02,14.7,29.2,,v India,Bloemfontein,3 Nov 2001, 
JN Gillespie (AUS),18.4,6,56,3,3,18.66,37.3,,v New Zealand,Brisbane,8 Nov 2001, 
B Lee (AUS),33,6,120,6,3.63,20,33,,v New Zealand,Brisbane,8 Nov 2001, 
GD McGrath (AUS),46,10,146,1,3.17,146,276,,v New Zealand,Brisbane,8 Nov 2001, 
Khaled Mahmud (BDESH),15,2,59,0,3.93,-,-,,v Zimbabwe,Dhaka,8 Nov 2001, 
Mashrafe Mortaza (BDESH),32,8,106,4,3.31,26.5,48,,v Zimbabwe,Dhaka,8 Nov 2001, 
TCB Fernando (SL),18,2,80,0,4.44,-,-,,v West Indies,Galle,13 Nov 2001, 
Mashrafe Mortaza (BDESH),28,4,101,2,3.6,50.5,84,,v Zimbabwe,Chittagong,15 Nov 2001, 
Mohammad Sharif (BDESH),29,7,118,0,4.06,-,-,,v Zimbabwe,Chittagong,15 Nov 2001, 
M Hayward (SA),42,11,103,3,2.45,34.33,84,,v India,Port Elizabeth,16 Nov 2001, 
JH Kallis (SA),21.2,7,65,2,3.04,32.5,64,,v India,Port Elizabeth,16 Nov 2001, 
M Ntini (SA),26,7,74,1,2.84,74,156,,v India,Port Elizabeth,16 Nov 2001, 
SM Pollock (SA),42,14,79,6,1.88,13.16,42,,v India,Port Elizabeth,16 Nov 2001, 
JN Gillespie (AUS),28,14,45,3,1.6,15,56,,v New Zealand,Hobart,22 Nov 2001, 
B Lee (AUS),19,5,51,0,2.68,-,-,,v New Zealand,Hobart,22 Nov 2001, 
GD McGrath (AUS),27,12,46,2,1.7,23,81,,v New Zealand,Hobart,22 Nov 2001, 
JN Gillespie (AUS),57,7,167,5,2.92,33.4,68.4,,v New Zealand,Perth,30 Nov 2001, 
B Lee (AUS),48.5,8,181,8,3.7,22.62,36.6,,v New Zealand,Perth,30 Nov 2001, 
GD McGrath (AUS),44,15,135,2,3.06,67.5,132,,v New Zealand,Perth,30 Nov 2001, 
DR Martyn (AUS),10,0,44,0,4.4,-,-,,v New Zealand,Perth,30 Nov 2001, 
IR Siddiqui (INDIA),11,2,32,1,2.9,32,66,,v England,Mohali,3 Dec 2001, 
T Yohannan (INDIA),35,6,131,4,3.74,32.75,52.5,,v England,Mohali,3 Dec 2001, 
J Srinath (INDIA),29,7,105,1,3.62,105,174,,v England,Ahmedabad,11 Dec 2001, 
T Yohannan (INDIA),17,2,57,0,3.35,-,-,,v England,Ahmedabad,11 Dec 2001, 
JN Gillespie (AUS),34,11,80,2,2.35,40,102,,v South Africa,Adelaide,14 Dec 2001, 
B Lee (AUS),31,5,110,2,3.54,55,93,,v South Africa,Adelaide,14 Dec 2001, 
GD McGrath (AUS),47,18,107,6,2.27,17.83,47,,v South Africa,Adelaide,14 Dec 2001, 
SE Bond (NZ),28.1,6,75,6,2.66,12.5,28.1,,v Bangladesh,Hamilton,18 Dec 2001, 
CL Cairns (NZ),29.2,2,108,8,3.68,13.5,22,,v Bangladesh,Hamilton,18 Dec 2001, 
CS Martin (NZ),11,4,38,1,3.45,38,66,,v Bangladesh,Hamilton,18 Dec 2001, 
SC Ganguly (INDIA),13,3,39,0,3,-,-,,v England,Bengaluru,19 Dec 2001, 
J Srinath (INDIA),29,9,73,4,2.51,18.25,43.5,,v England,Bengaluru,19 Dec 2001, 
SE Bond (NZ),28,9,75,5,2.67,15,33.6,,v Bangladesh,Wellington,26 Dec 2001, 
CL Cairns (NZ),15,7,24,3,1.6,8,30,,v Bangladesh,Wellington,26 Dec 2001, 
CJ Drum (NZ),11,1,26,2,2.36,13,33,,v Bangladesh,Wellington,26 Dec 2001, 
AJ Bichel (AUS),32,6,96,4,3,24,48,,v South Africa,Melbourne,26 Dec 2001, 
B Lee (AUS),49,15,129,5,2.63,25.8,58.8,,v South Africa,Melbourne,26 Dec 2001, 
GD McGrath (AUS),47,14,113,4,2.4,28.25,70.5,,v South Africa,Melbourne,26 Dec 2001, 
TCB Fernando (SL),15,3,48,2,3.2,24,45,,v Zimbabwe,Colombo (SSC),27 Dec 2001, 
B Lee (AUS),19,5,62,2,3.26,31,57,,v South Africa,Sydney,2 Jan 2002, 
GD McGrath (AUS),45,11,130,4,2.88,32.5,67.5,,v South Africa,Sydney,2 Jan 2002, 
TCB Fernando (SL),12,2,27,4,2.25,6.75,18,,v Zimbabwe,Kandy,4 Jan 2002, 
Mohammad Sharif (BDESH),35,9,95,2,2.71,47.5,105,,v Pakistan,Dhaka,9 Jan 2002, 
TCB Fernando (SL),11,1,33,0,3,-,-,,v Zimbabwe,Galle,12 Jan 2002, 
Mohammad Sharif (BDESH),35.5,10,98,4,2.73,24.5,53.7,,v Pakistan,Chittagong,16 Jan 2002, 
J Srinath (INDIA),22,6,65,1,2.95,65,132,,v Zimbabwe,Nagpur,21 Feb 2002, 
AA Donald (SA),15.2,2,72,1,4.69,72,92,,v Australia,Johannesburg,22 Feb 2002, 
JH Kallis (SA),24,1,116,2,4.83,58,72,,v Australia,Johannesburg,22 Feb 2002, 
A Nel (SA),30.4,6,121,2,3.94,60.5,92,,v Australia,Johannesburg,22 Feb 2002, 
M Ntini (SA),33,8,124,1,3.75,124,198,,v Australia,Johannesburg,22 Feb 2002, 
J Srinath (INDIA),18,4,37,2,2.05,18.5,54,,v Zimbabwe,Delhi,28 Feb 2002, 
