Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
A Kumble (INDIA),74.1,23,153,6,2.06,25.5,74.1,v New Zealand,Ahmedabad,8 Oct 2003,1,1,0
M Muralitharan (SL),54,4,156,6,2.88,26,54,v New Zealand,Colombo (SSC),26 Aug 2009,1,1,0
NM Hauritz (AUS),44,7,159,6,3.61,26.5,44,v Pakistan,Melbourne,26 Dec 2009,1,1,0
D Ramnarine (WI),65,16,164,6,2.52,27.33,65,v South Africa,Bridgetown,29 Mar 2001,1,1,0
SK Warne (AUS),53.3,9,169,6,3.15,28.16,53.5,v Pakistan,Melbourne,26 Dec 2004,1,1,0
BAW Mendis (SL),59,6,169,6,2.86,28.16,59,v West Indies,Galle,15 Nov 2010,1,1,0
R Ashwin (INDIA),59.2,17,171,6,2.88,28.5,59.3,v Bangladesh,Hyderabad (Deccan),9 Feb 2017,1,1,0
M Muralitharan (SL),74.2,14,174,6,2.34,29,74.3,v England,Colombo (SSC),9 Dec 2007,1,1,0
SK Warne (AUS),76,25,175,6,2.3,29.16,76,v South Africa,Perth,16 Dec 2005,1,1,0
A Kumble (INDIA),58,14,176,6,3.03,29.33,58,v Pakistan,Bengaluru,8 Dec 2007,1,1,0
SK Warne (AUS),61.5,13,179,6,2.89,29.83,61.8,v South Africa,Sydney,2 Jan 2002,1,1,0
A Kumble (INDIA),75,21,183,6,2.44,30.5,75,v South Africa,Kanpur,20 Nov 2004,1,1,0
Harbhajan Singh (INDIA),66.4,8,192,6,2.88,32,66.6,v Sri Lanka,Mumbai (BS),2 Dec 2009,1,1,0
Sarandeep Singh (INDIA),71,17,206,6,2.9,34.33,71,v Zimbabwe,Nagpur,25 Nov 2000,1,1,0
Harbhajan Singh (INDIA),64,5,211,6,3.29,35.16,64,v Australia,Bengaluru,9 Oct 2010,1,1,0
DL Piedt (SA),52,6,216,6,4.15,36,52,v England,Durban,26 Dec 2015,1,1,0
GP Swann (ENG),58,2,233,6,4.01,38.83,58,v Australia,Manchester,1 Aug 2013,1,1,0
A Kumble (INDIA),76,22,236,6,3.1,39.33,76,v Pakistan,Mohali,8 Mar 2005,1,1,0
SCG MacGill (AUS),15,4,43,5,2.86,8.6,18,v ICC World XI,Sydney,14 Oct 2005,1,1,0
SK Warne (AUS),28,9,48,5,1.71,9.6,33.6,v West Indies,Brisbane,3 Nov 2005,1,1,0
GP Swann (ENG),13.5,1,62,5,4.48,12.4,16.6,v Pakistan,Lord's,26 Aug 2010,1,1,0
M Muralitharan (SL),28.4,8,75,5,2.61,15,34.4,v Bangladesh,Colombo (PSS),20 Sep 2005,1,1,0
