Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
KA Maharaj (SA),40.3,10,116,4,2.86,29,60.7,v Sri Lanka,Port Elizabeth,26 Dec 2016,1,0,0
DL Vettori (NZ),47,17,121,4,2.57,30.25,70.5,v Pakistan,Wellington,3 Dec 2009,1,0,0
RA Jadeja (INDIA),53,16,121,4,2.28,30.25,79.5,v England,Mohali,26 Nov 2016,1,0,0
RW Price (ZIM),40,9,122,4,3.05,30.5,60,v Pakistan,Harare,9 Nov 2002,1,0,0
Shakib Al Hasan (BDESH),66,27,124,4,1.87,31,99,v England,Dhaka,20 Mar 2010,1,0,0
RA Jadeja (INDIA),44,8,125,4,2.84,31.25,66,v New Zealand,Indore,8 Oct 2016,1,0,0
V Permaul (WI),31,4,129,4,4.16,32.25,46.5,v England,Bridgetown,1 May 2015,1,0,0
BP Martin (NZ),48,11,130,4,2.7,32.5,72,v England,Wellington,14 Mar 2013,1,0,0
RO Hinds (WI),33.2,5,131,4,3.93,32.75,50,v England,St John's,15 Feb 2009,1,0,0
GB Hogg (AUS),38,6,133,4,3.5,33.25,57,v India,Melbourne,26 Dec 2007,1,0,0
Enamul Haque (BDESH),39.4,9,136,4,3.42,34,59.5,v Pakistan,Dhaka,9 Jan 2002,1,0,0
PADLR Sandakan (SL),33,2,140,4,4.24,35,49.5,v Bangladesh,Colombo (PSS),15 Mar 2017,1,0,0
PP Ojha (INDIA),52,10,142,4,2.73,35.5,78,v England,Kolkata,5 Dec 2012,1,0,0
Abdur Razzak (BDESH),66,16,144,4,2.18,36,99,v New Zealand,Chittagong,17 Oct 2008,1,0,0
PP Ojha (INDIA),49,11,144,4,2.93,36,73.5,v Australia,Mohali,14 Mar 2013,1,0,0
Suhrawadi Shuvo (BDESH),49.3,6,146,4,2.94,36.5,74.2,v West Indies,Dhaka,29 Oct 2011,1,0,0
RJ Peterson (SA),46,5,149,4,3.23,37.25,69,v India,Durban,26 Dec 2013,1,0,0
Shakib Al Hasan (BDESH),52,11,151,4,2.9,37.75,78,v West Indies,Khulna,21 Nov 2012,1,0,0
HMRKB Herath (SL),42,7,154,4,3.66,38.5,63,v India,Colombo (SSC),3 Aug 2017,1,0,0
Mohammad Rafique (BDESH),50,2,156,4,3.12,39,75,v India,Chittagong,17 Dec 2004,1,0,0
DL Vettori (NZ),74,25,162,4,2.18,40.5,111,v West Indies,Napier,19 Dec 2008,1,0,0
HMRKB Herath (SL),47.2,6,167,4,3.52,41.75,71,v Australia,Colombo (SSC),24 Mar 2004,1,0,0
HMRKB Herath (SL),49.1,3,173,4,3.51,43.25,73.7,v India,Colombo (SSC),28 Aug 2015,1,0,0
HMRKB Herath (SL),54,7,177,4,3.27,44.25,81,v India,Colombo (PSS),20 Aug 2015,1,0,0
SB Joshi (INDIA),71,18,184,4,2.59,46,106.5,v Zimbabwe,Delhi,18 Nov 2000,1,0,0
SJ Benn (WI),69.5,17,189,4,2.7,47.25,104.7,v New Zealand,Kingston,8 Jun 2014,1,0,0
MS Panesar (ENG),86,19,190,4,2.2,47.5,129,v South Africa,Lord's,10 Jul 2008,1,0,0
RW Price (ZIM),71.3,12,205,4,2.86,51.25,107.2,v New Zealand,Bulawayo,1 Nov 2011,1,0,0
DL Vettori (NZ),64,12,209,4,3.26,52.25,96,v England,Napier,22 Mar 2008,1,0,0
Abdur Razzak (BDESH),41,3,210,4,5.12,52.5,61.5,v England,Chittagong,12 Mar 2010,1,0,0
Taijul Islam (BDESH),61,3,235,4,3.85,58.75,91.5,v Pakistan,Dhaka,6 May 2015,1,0,0
DL Vettori (NZ),73.2,13,237,4,3.23,59.25,110,v South Africa,Hamilton,10 Mar 2004,1,0,0
SM Katich (AUS),10,3,34,3,3.4,11.33,20,v Pakistan,Hobart,14 Jan 2010,1,0,0
HMRKB Herath (SL),15.4,3,52,3,3.31,17.33,31.3,v Bangladesh,Colombo (PSS),20 Sep 2005,1,0,0
Shakib Al Hasan (BDESH),18,2,53,3,2.94,17.66,36,v West Indies,Chittagong,21 Oct 2011,1,0,0
HMRKB Herath (SL),25,6,60,3,2.4,20,50,v South Africa,Colombo (SSC),11 Aug 2004,1,0,0
Taijul Islam (BDESH),19.5,2,60,3,3.02,20,39.6,v Australia,Dhaka,27 Aug 2017,1,0,0
DS Lehmann (AUS),31.2,15,61,3,1.94,20.33,62.6,v Zimbabwe,Perth,9 Oct 2003,1,0,0
SNJ O'Keefe (AUS),26.1,7,63,3,2.4,21,52.3,v West Indies,Sydney,3 Jan 2016,1,0,0
MS Panesar (ENG),29.2,6,65,3,2.21,21.66,58.6,v South Africa,Leeds,18 Jul 2008,1,0,0
Taijul Islam (BDESH),25.3,3,65,3,2.54,21.66,51,v England,Dhaka,28 Oct 2016,1,0,0
Enamul Haque (BDESH),43,13,74,3,1.72,24.66,86,v Zimbabwe,Dhaka,8 Nov 2001,1,0,0
HMRKB Herath (SL),23,3,76,3,3.3,25.33,46,v West Indies,Colombo (RPS),23 Nov 2010,1,0,0
M Kartik (INDIA),37,11,78,3,2.1,26,74,v South Africa,Mumbai,24 Feb 2000,1,0,0
PM Pushpakumara (SL),23,2,82,3,3.56,27.33,46,v India,Pallekele,12 Aug 2017,1,0,0
Manjural Islam Rana (BDESH),42,12,84,3,2,28,84,v New Zealand,Dhaka,19 Oct 2004,1,0,0
PL Harris (SA),40,14,85,3,2.12,28.33,80,v England,Cape Town,3 Jan 2010,1,0,0
AF Giles (ENG),39,8,87,3,2.23,29,78,v New Zealand,Lord's,20 May 2004,1,0,0
DL Vettori (NZ),35,11,92,3,2.62,30.66,70,v West Indies,Auckland,9 Mar 2006,1,0,0
RA Jadeja (INDIA),63,24,92,3,1.46,30.66,126,v England,Visakhapatnam,17 Nov 2016,1,0,0
PP Ojha (INDIA),37.1,8,94,3,2.52,31.33,74.3,v Australia,Delhi,22 Mar 2013,1,0,0
KA Maharaj (SA),27,4,96,3,3.55,32,54,v Sri Lanka,Cape Town,2 Jan 2017,1,0,0
JC Adams (WI),43,10,97,3,2.25,32.33,86,v Pakistan,Bridgetown,18 May 2000,1,0,0
PL Harris (SA),29,2,100,3,3.44,33.33,58,v Australia,Johannesburg,26 Feb 2009,1,0,0
DL Vettori (NZ),70,23,104,3,1.48,34.66,140,v England,Hamilton,5 Mar 2008,1,0,0
RO Hinds (WI),55.3,15,112,3,2.01,37.33,111,v England,St John's,10 Apr 2004,1,0,0
AF Giles (ENG),37,6,113,3,3.05,37.66,74,v West Indies,Manchester,12 Aug 2004,1,0,0
Mohammad Rafique (BDESH),51,12,117,3,2.29,39,102,v India,Dhaka,10 Nov 2000,1,0,0
RA Jadeja (INDIA),70,34,117,3,1.67,39,140,v England,Nagpur,13 Dec 2012,1,0,0
GB Hogg (AUS),54,17,119,3,2.2,39.66,108,v Zimbabwe,Sydney,17 Oct 2003,1,0,0
DL Vettori (NZ),57,18,121,3,2.12,40.33,114,v India,Napier,26 Mar 2009,1,0,0
M Kartik (INDIA),50,11,123,3,2.46,41,100,v South Africa,Bengaluru,2 Mar 2000,1,0,0
Elias Sunny (BDESH),47,7,123,3,2.61,41,94,v Pakistan,Chittagong,9 Dec 2011,1,0,0
KM Dabengwa (ZIM),39,7,127,3,3.25,42.33,78,v India,Bulawayo,13 Sep 2005,1,0,0
Mohammad Rafique (BDESH),55,12,130,3,2.36,43.33,110,v New Zealand,Chittagong,26 Oct 2004,1,0,0
RA Jadeja (INDIA),45,5,133,3,2.95,44.33,90,v England,Rajkot,9 Nov 2016,1,0,0
RJ Peterson (SA),34,0,136,3,4,45.33,68,v Australia,Centurion,12 Feb 2014,1,0,0
Abdur Rehman (PAK),56,12,142,3,2.53,47.33,112,v South Africa,Lahore,8 Oct 2007,1,0,0
